job_id,job_title,job_date,job_loc,city_id,job_summary,job_salary,job_education,job_url,company_name,company_type,search_time,search_position,source,search_qualified
71e33872387b81b9,Finance Controller,2022-05-23,Postcode 6003 in Weert,849.0,5+ years proven work experience in finance / accounting / controlling with some years as (assistant) financial controller.,[],master,https://www.indeed.nl/rc/clk?jk=71e33872387b81b9&fccid=9a2c8ce9d1b61aac&vjs=3,Carrier,employer,2022-06-22 23:52:45,financial controller,indeed.nl,True
72268139beba41ca,Assistent Financial Controller,2022-05-23,Alphen aan den Rijn,18.0,"Kennis van financiële automatiseringspakketten (SAP is een pre).
We zijn per direct op zoek naar een Assistent Financial Controller die goed kan werken met…","['2.500', '3.000']",master,https://www.indeed.nl/rc/clk?jk=72268139beba41ca&fccid=d1245521f5ffd418&vjs=3,FlexMatch,recruiter,2022-06-22 23:53:11,financial controller,indeed.nl,True
737ff7923a1b3494,Project Controller Boskalis Nederland,2022-06-18,Papendrecht,795.0,"Naast je rol als project controller wordt jouw expertise ingezet bij tenders of overige financiële vraagstukken.
Wat je gaat doen als Project Controller.",[],master,https://www.indeed.nl/rc/clk?jk=737ff7923a1b3494&fccid=3002afa2a4b3c5ca&vjs=3,Boskalis,employer,2022-06-22 23:52:45,financial controller,indeed.nl,True
73c1005d99ca5109,Financial Controller,2022-06-02,Postcode 1112 in Diemen,101.0,"Als financial controller maak je deel uit van het managementteam, bestaande uit de Algemeen directeur, een Managing Consultant Opdrachtgeverskant, een Managing…",[],master,https://www.indeed.nl/rc/clk?jk=73c1005d99ca5109&fccid=3ce6f828b4c2c5d8&vjs=3,Flux Partners,employer,2022-06-22 23:52:45,financial controller,indeed.nl,True
747444fb42c3e04b,Site Business Controller,2022-05-27,Den Bosch,14.0,"Robust financial reporting skills (US GAAP or IFRS).
Ensure integrity of monthly financial close for the site Den Bosch.
Proficiency in Dutch and English.",[],master,https://www.indeed.nl/rc/clk?jk=747444fb42c3e04b&fccid=74863a92805aacc3&vjs=3,Omron Corporation,employer,2022-06-22 23:52:45,financial controller,indeed.nl,True
74972b3c2b57f6bc,Boekhouder – M/V,2022-05-30,Eindhoven,5.0,"10-20 uur per week.
Als boekhouder ben je (inhoudelijk) eindverantwoordelijk voor de boekhoudkundige kant van het klantdossier.",[],master,https://www.indeed.nl/rc/clk?jk=74972b3c2b57f6bc&fccid=2ebead64ec21fcc2&vjs=3,Ecom Boekhouder,employer,2022-06-22 23:52:45,financial controller,indeed.nl,True
74e01fba5648287c,Assistant Controller,2022-06-10,Randstad,,"Masters in Finance detacheert financieel talent bij mooie, interessante opdrachtgevers.
Wij zijn op zoek naar een Assistant Controller!","['3.050', '3.549']",master,https://www.indeed.nl/rc/clk?jk=74e01fba5648287c&fccid=fd7742c12f960c96&vjs=3,Masters Group,employer,2022-06-22 23:52:45,financial controller,indeed.nl,True
75b1bde6439e5086,VIE - Junior Controller,2022-05-23,Enschede,816.0,"Lead all financial forecasting processes (budget, periodic forecast, …).
To be eligible for the VIE program, you must be European, aged between 18-28 old and…",[],master,https://www.indeed.nl/rc/clk?jk=75b1bde6439e5086&fccid=be6df1e15053629d&vjs=3,Faurecia,employer,2022-06-22 23:52:45,financial controller,indeed.nl,False
75e4338bb2a02fd9,FINANCIAL CONTROLLER,2022-05-23,Rotterdam,4.0,"Een afgeronde Master opleiding in een financiële richting bij voorkeur richting bedrijfseconomie, accounting en controlling.",[],master,https://www.indeed.nl/rc/clk?jk=75e4338bb2a02fd9&fccid=6f818d397f707ffb&vjs=3,HES International,employer,2022-06-22 23:52:45,financial controller,indeed.nl,True
763768c63ffc811c,Financieel Administratief Medewerker,2022-05-23,Hybride werken in Woerden,46.0,"Onze financiële administratie bestaat uit 11 financieel administratief medewerkers en 5 Administrateurs.
Je wordt verantwoordelijk voor de uitvoering van de…",[],master,https://www.indeed.nl/rc/clk?jk=763768c63ffc811c&fccid=94a571b41773d8a5&vjs=3,Intratuin,employer,2022-06-22 23:52:45,financial controller,indeed.nl,False
7993e0289838bc53,Financial Controller,2022-06-20,Postcode 5611 in Eindhoven,5.0,"Je bent verantwoordelijk voor de financiële administratie.
Financieel controller met minimaal 5 jaar werkervaring.","['50.000', '60.000']",master,https://www.indeed.nl/company/CytoSmart-Technologies-B.V./jobs/Financial-Controller-7993e0289838bc53?fccid=4a197f4df4060006&vjs=3,CytoSmart Technologies B.V.,employer,2022-06-22 23:52:45,financial controller,indeed.nl,True
79df3d3e580dd7c6,Senior Corporate Controller,2022-05-23,Postcode 5223 in Den Bosch,14.0,"Dat leidt tot allerlei processen waar jij een waardevolle bijdrage aan kunt leveren.
Reken op een club collega's die voor elkaar klaarstaan, het fijn vinden om…","['4.915', '7.021']",master,https://www.indeed.nl/rc/clk?jk=79df3d3e580dd7c6&fccid=de3b7d113a6df45d&vjs=3,Enexis,employer,2022-06-22 23:52:45,financial controller,indeed.nl,True
7af9b2d2bc119469,"Business Controllers (junior, medior, senior)",2022-05-23,Arnhem,12.0,"Jouw rol draait om financieel beheer, analyses, rapportages en op basis daarvan sturing en advies.
Ook in de wereld van de Zorg, waar finance steeds vaker als…",[],master,https://www.indeed.nl/rc/clk?jk=7af9b2d2bc119469&fccid=d7f22590f376ed0c&vjs=3,Vinder,employer,2022-06-22 23:52:45,financial controller,indeed.nl,False
